code,kind,name
007187,article,Toner HP CF 360 A
007188,article,Toner HP CF 361 A
007189,article,Toner HP CF 362 A
007190,article,Toner HP CF 363 A
007192,service,Stikeri u boji
007195,article,Majice sa štampom
007198,service,Štampa postera A1
007202,service,Štampa pvc nalepnice B2
007203,service,Štampa karte pića A3
007205,service,Štampa na vadičepovima-tri oraha
007206,service,Štampa na vadičepovima - sersa
007207,service,Izrada šablona - Boreo
007209,service,Nalepnice pvc -vila1927
007210,article,Kesa butik sa kanapom-velika
007211,service,USB 8 gb sa gravurom
007212,service,Papirni podmetači A3 - 4/0
007213,service,Štampa generalija A5
007215,service,Usluga štampe One way vision folije
007216,service,Štampa kartica - specijalani papir
007217,service,Štampa A3 formata - specijalni papir
007218,service,Uplata po avansnom računu
007220,service,Jelovnik za venčanje
007222,service,Usluge sečenja papira i dorada
007223,article,A tabla B1 format
007224,service,Štampa kliritnih oznaka za vrata
007230,service,Katovanje pvc folije
007231,article,Transfer folija - mala
007233,article,Klamerice 24/6
007237,service,Nalepnice pvc - Antilia
007240,service,Štampa postera A3
007241,service,Štampa postera A3 - 4/0 -šumadija
007244,service,Štampa postera
007245,service,Usluga graviranja olovaka -dtc
007246,service,Usluga graviranja privezaka -dtc
007247,service,Deklaracije - pljeskavica
007248,service,Deklaracija - đunta
007251,service,Štampa OWV folije
007252,service,Štampa pvc nalepnica + pena
007254,service,Usluga štampe vaučera
007255,service,Usluga štampe na majicama - bele
007256,service,Usluga štampe na majicama - sive
007257,service,Usluga štampe na majicama - crne
007258,service,Usluga izrade magneta
007260,service,Usluga štampe promo matrijala
007261,service,Plexi 3mm 30x21cm + pdv štampa
007262,service,Štampa kartica 4/0 - specijalni papir
007264,article,Majice - t shirts
007266,service,Usluga graviranja privezaka -konak
007268,service,Usluga štampe na kliritu
007269,service,Štampa kartica zahvalnosti - sjaj
007270,service,Štampa Thank you nalepnica - 480 kom
007271,service,Štampa kartončića za cene - 90 kom
007272,service,Štampa pvc nalepnica - Antilia
007273,service,Štampa cenovnika
007274,service,Štampa folija za brendiranje lokala
007275,service,Štampa muflon deklaracija 1/0
007276,service,Štampa muflon deklaracija 4/0
007277,service,Štampa pvc nalepnica - sveće
007279,service,Štampa na majicama 2/2
007280,service,Štampa nalepnica - mix
007281,service,Štampa postera B1 - Premium pet
007283,service,Štampa pvc nalepnica
007285,service,Nalog za uplatu 1+1 - 1/100
